iter,view_total,view_num,spin_total,spin_num,time,memory
10,75,75,75,16,1716722281567,274085840
10,75,75,75,17,1716722281567,274085840
10,75,75,75,18,1716722281567,274085840
10,75,75,75,19,1716722281567,274085840
10,75,75,75,20,1716722281567,274085840
10,75,75,75,21,1716722281567,274085840
10,75,75,75,22,1716722281567,274085840
10,75,75,75,23,1716722281567,274085840
10,75,75,75,24,1716722281567,274085840
10,75,75,75,25,1716722281567,274085840
10,75,75,75,26,1716722281567,274085840
10,75,75,75,27,1716722281567,274085840
10,75,75,75,28,1716722281567,274085840
10,75,75,75,29,1716722281567,274085840
10,75,75,75,30,1716722281567,274085840
10,75,75,75,31,1716722281567,274085840
10,75,75,75,32,1716722281567,274085840
10,75,75,75,33,1716722281567,274085840
10,75,75,75,34,1716722281567,274085840
10,75,75,75,35,1716722281567,274085840
10,75,75,75,36,1716722281567,274085840
10,75,75,75,37,1716722281567,274085840
10,75,75,75,38,1716722281567,274085840
10,75,75,75,39,1716722281567,274085840
10,75,75,75,40,1716722281567,274085840
10,75,75,75,41,1716722281567,274085840
10,75,75,75,42,1716722281567,274085840
10,75,75,75,43,1716722281567,274085840
10,75,75,75,44,1716722281567,274085840
10,75,75,75,45,1716722281567,274085840
10,75,75,75,46,1716722281567,274085840
10,75,75,75,47,1716722281567,274085840
10,75,75,75,48,1716722281567,274085840
10,75,75,75,49,1716722281567,274085840
10,75,75,75,50,1716722281567,274085840
10,75,75,75,51,1716722281567,274085840
10,75,75,75,52,1716722281567,274085840
10,75,75,75,53,1716722281567,274085840
10,75,75,75,54,1716722281567,274085840
10,75,75,75,55,1716722281567,274085840
10,75,75,75,56,1716722281567,274085840
10,75,75,75,57,1716722281567,274085840
10,75,75,75,58,1716722281567,274085840
10,75,75,75,59,1716722281567,274085840
10,75,75,75,60,1716722281567,274085840
10,75,75,75,61,1716722281567,274085840
10,75,75,75,62,1716722281567,274085840
10,75,75,75,63,1716722281567,274085840
